For Class,Method,Instance ID,Descendants,Descendants IDs,Descendant Methods IDs
,(implements for Time Review Event) Action Event@process Event Complete(PU)*O,11$14110,"Action Event@process process Pending Project Transaction Adjustment Events if Transaction is Changed(PU)(public)[pumb]

Time Review Event@ Create Event Lite for Time Periods Covered by TRE(PRU)*P*S+PA

Time Review Event@ Process Billable Transactions for Worker Time Block(PRU)*P*S+PA

Time Review Event@ Process Blocks and Offsets for Worker Time Block(PRU)*P*S+PA

Time Review Event@ Process Standard Cost and Fully Burdened Cost for Worker Time Block(PRU)*P*S+PA

Time Review Event@ Recalculate Time Off Balances(PRU)

Time Review Event@ Update Tax Authorities on Worker Time Blocks(PRU)*P*S+???+PA","54$21136,82$56870,54$50344,54$53704,54$50345,54$50346,54$50347",
,(implements for Time Review Event) Action Event@process Event Terminated(PU)*O,11$14400,"Time Review Event@ Recalculate Time Off Balances(PRU)

Time Review Event@set Worker Time Block entry status to Denied(PRU)+???+PA","54$21136,54$70863",
,(implements for Time Review Event) Action Event@process Event Sent Back(PU)*O,11$28137,Time Review Event@set WCTB entry status to Sent Back(PRU)+PA,54$70862,
,(implements for Worker Time Block) Worker Coordinated Time Block@process Delete Worker Coordinated Time Block (abstract)Worker Time Block Delete(PU)*O,11$30762,"Worker Time Block@assigns Time Block Deleted-Common Boolean@get True(GAS)*S(public)[ramb](AA)[eumb]

Worker Time Block@ Worker Time Block /Worker Time Block.has break block Worker Time Block /Delete Worker Coordinated Time Block (abstract)(PRU)+???","54$48123,83$12159",
,(implements for Worker Time Block) Worker Coordinated Time Block@process Worker Coordinated Time Block(PU)*O,11$40431,"Instance@process Common for Worker Time Block(PU)(public)[pumb]+PA

Instance@process Common for Worker Time Block(PU)(public)[pumb]+PA

Worker Coordinated Time Block@delete Original Time Off Entry Instance(PRU)*P*S+???","82$67058,82$49138,54$61531",
,(implements for Overtime Request Event) Action Event@process Event Complete(PU)*O,11$44731,"Overtime Request Event@ Delete a Correction After Approving it if it is a correction to 0(PRU)+???+PA

Overtime Request Event@ Delete User Overtime Request Block corrected by this Overtime Request Event(PRU)+PA

Overtime Request Event@ Overtime Request Block /Overtime Request Event.records User Overtime Request Block /Automatic Assignment Only(PRU)+PA","54$67058,54$68262,54$68264",
,(implements for Overtime Request Event) Action Event@process Event Sent Back(PU)*O,11$45024,Overtime Request Event@ Overtime Request Block /Overtime Request Event.records User Overtime Request Block /Automatic Assignment Only(PRU)+PA,54$67409,
,(implements for Overtime Request Event) Action Event@process Event Terminated(PU)*O,11$45025,Overtime Request Event@ Overtime Request Block /Overtime Request Event.records User Overtime Request Block /Automatic Assignment Only(PRU)+???+PA,54$67410,
,(implements for Worker Time Block) Worker Coordinated Time Block@associate Time Clock Event(PU)*O,11$50410,Worker Time Block@assigns Worker Time Block.uses Time Clock Event-Time Clock Event [Singular](AR)[eumb]+???,83$11286,
,(implements for Incomplete Worker Time Block) Worker Coordinated Time Block@assigns Securing Organization(PU)*O,11$50411,Incomplete Worker Time Block@assigns has securing Organization based on Time Block Date-Worker Time@get Supervisory Organization for Worker Time(GRS)[rsmb]+DT(AR)[eumb]+???,83$15737,
,(implements for Worker Time Block) Billable Transaction@get Approval Date for Billable Transaction(GRA)*O,18$49072,"Event@get Completed Date(GA)

Worker Time Block@get Latest Time Review Event Completed(SS)[rsmb]","12$985,87$352811",19$91492
,(implements for Worker Coordinated Time Block) Calendar Container Entry Instance@get Event Grouping Order(GRA)*O,18$50454,"Instance@get Display ID(GAS)(public)[ramb]

Worker Coordinated Time Block@get Worker from Worker Coordinated Time Block(GSS)(public)[rsmb]","86$1,87$169078","30$9128,30$41259,30$37835,65$5583,30$38256,30$40976,19$49200,30$11442,30$35768,30$34267,30$8798,30$9278,30$22111,30$25119"
,(implements for Derived_WTB) Worker Time Block@get Padded Instance Number from Reported Block(GRA)*O,18$63533,"Worker Time Block@get Padded Instance Number from Reported Block(SAC)[ramb]

Worker Time Block@get Worker Time Block.originates from Worker Time Block(GR)","207$17594,86$380954","13038$5280,207$17594,18$63533"
,(implements for Billable Time Block Offset) Billable Transaction@is Billable Transaction Event Approved(GRA)*O,18$64570,"Billable Time Block Offset@get Billable Time Block Offset.offsets Worker Time Block(GR)

Worker Time Block@get Latest Time Review Event for WCTB Completed(GRA)[ramb]","86$285827,207$39950","18$48979,207$39950"
,(implements for Derived Time Block Change Set) Abstract Derived Time Block Change Set@get Override Rate from Calculation if not Allowed for Update(GRA)*O,18$69404,"Derived Time Block Change Set@get Derived Time Block Change Set.updates Derived Calculation Time Block(GR)

Worker Time Block@get Override Rate from Calculation(GA)","12$19524,207$49336","12$19524,207$49336"
,(implements for Derived Time Block Change Set) Abstract Derived Time Block Change Set@get Start Time of Originating Shift if not Allowed for Update(GRA)*O,18$69405,"Derived Time Block Change Set@get Derived Time Block Change Set.updates Derived Calculation Time Block(GR)

Worker Time Block@get Start Time Of Originating Shift(GA)","12$26816,207$49336","12$26816,207$49336"
,(implements for Derived Time Block Change Set) Abstract Derived Time Block Change Set@get Time Block Calculated Quantity if not Allowed for Update(GRA)*O,18$69406,"Derived Time Block Change Set@get Derived Time Block Change Set.updates Derived Calculation Time Block(GR)

Worker Time Block@get Time Block Calculated Quantity(GA)","207$49336,12$9402","207$49336,12$9402"
,(implements for Derived Time Block Change Set) Abstract Derived Time Block Change Set@get Time Block Calculated Time In if not Allowed for Update(GRA)*O,18$69407,"Derived Time Block Change Set@get Derived Time Block Change Set.updates Derived Calculation Time Block(GR)

Worker Time Block@get Time Block Calculated Time In(GA)","12$12455,207$49336","12$12455,207$49336"
,(implements for Derived Time Block Change Set) Abstract Derived Time Block Change Set@get Time Block Calculated Time Out if not Allowed for Update(GRA)*O,18$69408,"Derived Time Block Change Set@get Derived Time Block Change Set.updates Derived Calculation Time Block(GR)

Worker Time Block@get Time Block Calculated Time Out(GA)","207$49336,12$12456","207$49336,12$12456"
,(implements for Derived Time Block Change Set) Abstract Derived Time Block Change Set@get Time Block Calendar Date if not Allowed for Update(GRA)*O,18$69409,"Derived Time Block Change Set@get Derived Time Block Change Set.updates Derived Calculation Time Block(GR)

Worker Time Block@get Time Block Calendar Date(GA)","207$49336,12$11578","207$49336,12$11578"
,(implements for Derived Time Block Change Set) Abstract Derived Time Block Change Set@get Time Block Date if not Allowed for Update(GRA)*O,18$69410,"Derived Time Block Change Set@get Derived Time Block Change Set.updates Derived Calculation Time Block(GR)

Worker Time@get Time Block Date(GA)","12$8896,207$49336","12$8896,207$49336"
,(implements for Derived Time Block Change Set) Abstract Derived Time Block Change Set@get WTB Override Rate if not Allowed for Update(GRA)*O,18$69411,"Derived Time Block Change Set@get Derived Time Block Change Set.updates Derived Calculation Time Block(GR)

Time Tracking Taggable@get WTB Override Rate(GA)","207$49336,12$13032","207$49336,12$13032"
,(implements for Derived_WTB) Instance@get Workday ID(GRA)*O,18$76399,"Derived_WTBV@get Derived_WTBV.validates Worker Time Block(GR)

Instance@get Workday ID(GAS)(public)[ramb]","207$18797,86$19629",18$76399
,(implements for Worker Time Block) Billable Transaction@get Intercompany Billable Transaction Invoiced(GRA)*O,18$77799,"Billable Transaction@get Invoiced(GA)

Worker Time Block@get Worker Time Block.creates Intercompany Billable Time(GR)(public)","207$61788,12$15983",
,(implements for Time Off Entry) Worker Coordinated Time Block@get Time Block Calculated Quantity with Calc Tag(GRA)*O,18$89457,"Coordinated Time Off Entry@get Time Off Hours(GA)(public)

Time Off Entry@get Coordinated Time off Entries for Time Off Entry filtered by Calc Tags(IOP)*P[rsmb]","12$800,87$693332",2663$83887
,(implements for Time Review Event) Contextually Secured@get Secured by Role Enabled(SS)*O,19$39881,"Time Review Event@get Cost Center For Time Review Event(SS)*P[rsmb]+PA

Time Review Event@get Projects for Time Review Event(IOP)[rsmb]+???

Time Review Event@get Projects From Project Plan Tasks For Time Review Event(IOP)[rsmb]+???

Time Review Event@get Role Enableds securing Event Target Without Projects or Cost Centers(IOP)*P*S[rsmb]+PA

Time Review Event@get Time Review Event.for Project(GR)[rsmb]+???","87$263012,87$263013,87$263014,87$168841,87$168507","207$31346,12$8899,2663$7572,12$8900,19$49143,2663$4743,19$59646,18$73134,2663$5326"
,(implements for Earning (All)) Pay Component@get All Time Calculation Tag Mapped to Pay Component(SS)*O,19$44826,Time Calculation Tag Interface@get Time Calculation Tags from Time Calculation Tag Interface(GRS)(public)[rsmb],87$170045,
,(implements for Worker Time Block{+2}) Worker Coordinated Time Block@get Worker Coordinated Time Entry Code(SS)*O,19$47595,Worker Time@get Time Entry Code(GR),207$17572,207$17572
,(implements for Worker Time Block{+2}) Worker Coordinated Time Block@get Worker Coordinated Project(SS)*O,19$47597,Worker Time@get Worker Time.has time type Project(GR),207$17571,207$17571
